task_1,task_2,task_3,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
97.338,0.0,0.0,0,0,32.446,97.338,0.0
98.024,0.0,0.0,0,1,32.67466666666667,98.024,-0.686000000000007
97.922,0.0,0.0,0,2,32.64066666666667,97.922,0.10200000000000387
96.852,0.0,0.0,0,3,32.284,96.852,1.171999999999997
96.824,0.0,0.0,0,4,32.27466666666667,96.824,1.2000000000000028
96.27799999999999,0.0,0.0,0,5,32.092666666666666,96.27799999999999,1.7460000000000093
95.424,0.0,0.0,0,6,31.808000000000003,95.424,2.5999999999999943
94.624,0.0,0.0,0,7,31.54133333333333,94.624,3.4000000000000057
97.24600000000001,0.0,0.0,0,8,32.415333333333336,97.24600000000001,0.7779999999999916
97.708,0.0,0.0,0,9,32.56933333333333,97.708,0.3160000000000025
91.67999999999999,96.07000000000001,0.0,1,0,62.583333333333336,93.875,6.344000000000008
93.19800000000001,99.092,0.0,1,1,64.09666666666668,96.14500000000001,0.902000000000001
93.346,99.338,0.0,1,2,64.228,96.342,2.216000000000001
91.834,98.81,0.0,1,3,63.548,95.322,3.3589999999999947
90.924,98.918,0.0,1,4,63.28066666666667,94.921,3.759999999999991
89.616,98.962,0.0,1,5,62.85933333333333,94.289,4.391999999999996
88.394,98.90599999999999,0.0,1,6,62.43333333333334,93.65,5.030999999999999
87.258,98.868,0.0,1,7,62.041999999999994,93.06299999999999,5.618000000000002
86.416,98.868,0.0,1,8,61.76133333333333,92.642,6.0390000000000015
85.636,98.80799999999999,0.0,1,9,61.48133333333333,92.222,6.459000000000003
76.84400000000001,88.262,92.074,2,0,85.72666666666667,85.72666666666667,16.127999999999993
77.28999999999999,88.20599999999999,92.02799999999999,2,1,85.84133333333334,85.84133333333334,10.63733333333334
80.576,89.262,92.24199999999999,2,2,87.36,87.36,9.11866666666667
84.152,90.274,92.336,2,3,88.92066666666666,88.92066666666666,7.6139999999999946
84.74000000000001,90.31,91.884,2,4,88.97800000000001,88.97800000000001,7.587999999999994
84.502,90.27799999999999,91.70599999999999,2,5,88.82866666666666,88.82866666666666,7.737333333333339
84.714,90.332,91.564,2,6,88.87,88.87,7.696000000000002
84.934,90.414,91.384,2,7,88.91066666666667,88.91066666666667,7.655333333333331
85.17,90.614,91.226,2,8,89.00333333333333,89.00333333333333,7.562666666666662
85.352,90.728,90.95599999999999,2,9,89.01199999999999,89.01199999999999,7.554000000000002
