task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
62.9,0.0,0.0,0.0,0,0,15.725,62.9,0.0
61.38399999999999,0.0,0.0,0.0,0,1,15.345999999999998,61.38399999999999,1.5160000000000053
69.872,0.0,0.0,0.0,0,2,17.468,69.872,-6.972000000000001
82.128,0.0,0.0,0.0,0,3,20.532,82.128,-12.256
83.80799999999999,0.0,0.0,0.0,0,4,20.951999999999998,83.80799999999999,-1.6799999999999926
62.67999999999999,73.196,0.0,0.0,1,0,33.968999999999994,67.93799999999999,21.128
64.536,86.49600000000001,0.0,0.0,1,1,37.758,75.516,2.98599999999999
66.066,91.576,0.0,0.0,1,2,39.4105,78.821,6.331000000000003
71.914,94.008,0.0,0.0,1,3,41.4805,82.961,4.7309999999999945
72.03,95.114,0.0,0.0,1,4,41.786,83.572,5.335999999999991
67.756,77.866,69.112,0.0,2,0,53.6835,71.578,16.65
68.47,72.132,81.846,0.0,2,1,55.612,74.14933333333333,8.52866666666666
69.338,66.414,86.338,0.0,2,2,55.5225,74.03,12.89266666666667
71.80199999999999,66.082,88.186,0.0,2,3,56.5175,75.35666666666667,13.063333333333333
66.752,64.088,90.558,0.0,2,4,55.34949999999999,73.79933333333332,15.23666666666667
71.814,73.162,65.064,77.368,3,0,71.852,71.852,19.813333333333336
69.498,60.681999999999995,60.528,84.804,3,1,68.878,68.878,17.834
68.488,62.2,57.879999999999995,88.172,3,2,69.185,69.185,19.386000000000003
65.756,70.108,66.712,91.82000000000001,3,3,73.599,73.599,15.813999999999997
64.586,65.736,64.792,93.584,3,4,72.1745,72.1745,18.1505
